,county,school_dist,school_dist_code,students_with_disabilities_final_grad_base,students_with_disabilities_graduates_total,students_with_disabilities_graduation_rate,students_with_disabilities_completers_total,students_with_disabilities_completion_rate,limited_english_proficient_final_grad_base,limited_english_proficient_graduates_total,limited_english_proficient_graduation_rate,limited_english_proficient_completers_total,limited_english_proficient_completion_rate,econ_disadvant_final_grad_base,econ_disadvant_graduates_total,econ_disadvant_graduation_rate,econ_disadvant_completers_total,econ_disadvant_completion_rate,migrant_final_grad_base,migrant_graduates_total,migrant_graduation_rate,migrant_completers_total,migrant_completion_rate,title_1_final_grad_base,title_1_graduates_total,title_1_graduation_rate,title_1_completers_total,title_1_completion_rate,homeless_final_grad_base,homeless_graduates_total,homeless_graduation_rate,homeless_completers_total,homeless_completion_rate,gifted_talented_final_grad_base,gifted_talented_graduates_total,gifted_talented_graduation_rate,gifted_talented_completers_total,gifted_talented_completion_rate
0,STATE TOTAL,STATE TOTAL,9999.0,5775.0,3099.0,53.7,3222.0,55.8,6171.0,3289.0,53.3,3364.0,54.5,25718.0,15791.0,61.4,16726.0,65.0,384.0,214.0,55.7,223.0,58.1,7398.0,3853.0,52.1,4129.0,55.8,2394.0,1175.0,49.1,1262.0,52.7,6604.0,6048.0,91.6,6156.0,93.2
1,STATE TOTAL,STATE TOTAL,9999.0,5775.0,3099.0,53.7,3222.0,55.8,6171.0,3289.0,53.3,3364.0,54.5,25718.0,15791.0,61.4,16726.0,65.0,384.0,214.0,55.7,223.0,58.1,7398.0,3853.0,52.1,4129.0,55.8,2394.0,1175.0,49.1,1262.0,52.7,6604.0,6048.0,91.6,6156.0,93.2
2,ADAMS,MAPLETON 1,10.0,49.0,18.0,36.7,19.0,38.8,219.0,73.0,33.3,76.0,34.7,374.0,142.0,38.0,154.0,41.2,8.0,5.0,62.5,5.0,62.5,218.0,118.0,54.1,124.0,56.9,41.0,12.0,29.3,16.0,39.0,44.0,27.0,61.4,27.0,61.4
3,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20.0,250.0,118.0,47.2,127.0,50.8,379.0,257.0,67.8,261.0,68.9,1100.0,627.0,57.0,673.0,61.2,25.0,12.0,48.0,12.0,48.0,224.0,80.0,35.7,98.0,43.8,106.0,62.0,58.5,65.0,61.3,227.0,201.0,88.5,208.0,91.6
4,ADAMS,ADAMS COUNTY 14,30.0,59.0,32.0,54.2,32.0,54.2,170.0,86.0,50.6,88.0,51.8,469.0,309.0,65.9,316.0,67.4,13.0,4.0,30.8,4.0,30.8,419.0,296.0,70.6,301.0,71.8,99.0,52.0,52.5,57.0,57.6,30.0,27.0,90.0,27.0,90.0
5,ADAMS,BRIGHTON 27J,40.0,66.0,33.0,50.0,35.0,53.0,110.0,63.0,57.3,66.0,60.0,338.0,215.0,63.6,229.0,67.8,10.0,5.0,50.0,6.0,60.0,18.0,10.0,55.6,10.0,55.6,41.0,21.0,51.2,21.0,51.2,63.0,51.0,81.0,52.0,82.5
6,ADAMS,BENNETT 29J,50.0,6.0,3.0,50.0,3.0,50.0,3.0,2.0,66.7,2.0,66.7,21.0,17.0,81.0,17.0,81.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,1.0,33.3,0.0,0.0,0.0,0.0,0.0,13.0,13.0,100.0,13.0,100.0
7,ADAMS,STRASBURG 31J,60.0,14.0,12.0,85.7,12.0,85.7,5.0,3.0,60.0,3.0,60.0,45.0,36.0,80.0,36.0,80.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,80.0,4.0,80.0
8,ADAMS,WESTMINSTER 50,70.0,65.0,26.0,40.0,27.0,41.5,238.0,147.0,61.8,147.0,61.8,452.0,270.0,59.7,278.0,61.5,7.0,6.0,85.7,6.0,85.7,50.0,21.0,42.0,22.0,44.0,73.0,43.0,58.9,45.0,61.6,20.0,14.0,70.0,14.0,70.0
9,ALAMOSA,ALAMOSA RE-11J,100.0,14.0,12.0,85.7,13.0,92.9,26.0,19.0,73.1,19.0,73.1,118.0,79.0,66.9,82.0,69.5,11.0,4.0,36.4,4.0,36.4,5.0,1.0,20.0,1.0,20.0,6.0,6.0,100.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0
10,ALAMOSA,SANGRE DE CRISTO RE-22J,110.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,75.0,10.0,83.3,0.0,0.0,0.0,0.0,0.0,23.0,21.0,91.3,22.0,95.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,ARAPAHOE,ENGLEWOOD 1,120.0,52.0,21.0,40.4,21.0,40.4,8.0,4.0,50.0,4.0,50.0,191.0,76.0,39.8,85.0,44.5,0.0,0.0,0.0,0.0,0.0,50.0,13.0,26.0,15.0,30.0,30.0,9.0,30.0,12.0,40.0,22.0,11.0,50.0,12.0,54.5
12,ARAPAHOE,SHERIDAN 2,123.0,18.0,6.0,33.3,6.0,33.3,51.0,11.0,21.6,11.0,21.6,131.0,41.0,31.3,43.0,32.8,2.0,0.0,0.0,0.0,0.0,140.0,46.0,32.9,48.0,34.3,29.0,9.0,31.0,10.0,34.5,14.0,6.0,42.9,7.0,50.0
13,ARAPAHOE,CHERRY CREEK 5,130.0,412.0,264.0,64.1,270.0,65.5,219.0,176.0,80.4,177.0,80.8,1100.0,894.0,81.3,915.0,83.2,1.0,1.0,100.0,1.0,100.0,67.0,53.0,79.1,56.0,83.6,16.0,12.0,75.0,12.0,75.0,343.0,328.0,95.6,330.0,96.2
14,ARAPAHOE,LITTLETON 6,140.0,116.0,76.0,65.5,77.0,66.4,56.0,35.0,62.5,36.0,64.3,247.0,181.0,73.3,190.0,76.9,2.0,2.0,100.0,2.0,100.0,18.0,13.0,72.2,14.0,77.8,19.0,10.0,52.6,12.0,63.2,320.0,316.0,98.8,317.0,99.1
15,ARAPAHOE,DEER TRAIL 26J,170.0,4.0,3.0,75.0,3.0,75.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,90.9,10.0,90.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ARAPAHOE,ADAMS-ARAPAHOE 28J,180.0,269.0,75.0,27.9,75.0,27.9,1039.0,303.0,29.2,306.0,29.5,2004.0,901.0,45.0,931.0,46.5,15.0,5.0,33.3,6.0,40.0,212.0,76.0,35.8,79.0,37.3,148.0,55.0,37.2,55.0,37.2,209.0,158.0,75.6,161.0,77.0
17,ARAPAHOE,BYERS 32J,190.0,3.0,3.0,100.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,100.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,1.0,1.0,100.0,1.0,100.0,1.0,1.0,100.0,1.0,100.0
18,ARCHULETA,ARCHULETA COUNTY 50 JT,220.0,11.0,5.0,45.5,5.0,45.5,0.0,0.0,0.0,0.0,0.0,59.0,38.0,64.4,40.0,67.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,20.0,1.0,20.0,12.0,10.0,83.3,11.0,91.7
19,BACA,WALSH RE-1,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,100.0,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0
20,BACA,PRITCHETT RE-3,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,75.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,83.3,6.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,100.0
21,BACA,SPRINGFIELD RE-4,250.0,1.0,1.0,100.0,1.0,100.0,1.0,1.0,100.0,1.0,100.0,15.0,13.0,86.7,14.0,93.3,0.0,0.0,0.0,0.0,0.0,22.0,20.0,90.9,21.0,95.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0
22,BACA,VILAS RE-5,260.0,7.0,3.0,42.9,3.0,42.9,1.0,1.0,100.0,1.0,100.0,53.0,10.0,18.9,18.0,34.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,22.2,3.0,33.3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0
23,BACA,CAMPO RE-6,270.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0
24,BENT,LAS ANIMAS RE-1,290.0,10.0,5.0,50.0,5.0,50.0,0.0,0.0,0.0,0.0,0.0,25.0,18.0,72.0,18.0,72.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0,73.3,11.0,73.3,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,3.0,100.0
25,BENT,MC CLAVE RE-2,310.0,1.0,1.0,100.0,1.0,100.0,2.0,2.0,100.0,2.0,100.0,14.0,13.0,92.9,13.0,92.9,1.0,1.0,100.0,1.0,100.0,2.0,2.0,100.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,3.0,100.0
26,BOULDER,ST VRAIN VALLEY RE 1J,470.0,118.0,61.0,51.7,63.0,53.4,171.0,110.0,64.3,112.0,65.5,587.0,403.0,68.7,412.0,70.2,10.0,7.0,70.0,7.0,70.0,5.0,1.0,20.0,1.0,20.0,87.0,54.0,62.1,56.0,64.4,171.0,170.0,99.4,170.0,99.4
27,BOULDER,BOULDER VALLEY RE 2,480.0,230.0,160.0,69.6,163.0,70.9,140.0,99.0,70.7,101.0,72.1,508.0,374.0,73.6,387.0,76.2,5.0,4.0,80.0,4.0,80.0,10.0,5.0,50.0,6.0,60.0,133.0,85.0,63.9,86.0,64.7,362.0,343.0,94.8,352.0,97.2
28,CHAFFEE,BUENA VISTA R-31,490.0,8.0,6.0,75.0,7.0,87.5,0.0,0.0,0.0,0.0,0.0,34.0,26.0,76.5,27.0,79.4,0.0,0.0,0.0,0.0,0.0,4.0,3.0,75.0,3.0,75.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,6.0,100.0
29,CHAFFEE,SALIDA R-32,500.0,9.0,6.0,66.7,6.0,66.7,5.0,5.0,100.0,5.0,100.0,25.0,19.0,76.0,19.0,76.0,0.0,0.0,0.0,0.0,0.0,69.0,61.0,88.4,62.0,89.9,2.0,1.0,50.0,1.0,50.0,11.0,11.0,100.0,11.0,100.0
30,CHEYENNE,KIT CARSON R-1,510.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,2.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0
31,CHEYENNE,CHEYENNE COUNTY RE-5,520.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,7.0,5.0,71.4,6.0,85.7,2.0,2.0,100.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,CLEAR CREEK,CLEAR CREEK RE-1,540.0,7.0,6.0,85.7,6.0,85.7,2.0,2.0,100.0,2.0,100.0,22.0,18.0,81.8,18.0,81.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,100.0,16.0,100.0
33,CONEJOS,NORTH CONEJOS RE-1J,550.0,11.0,11.0,100.0,11.0,100.0,1.0,1.0,100.0,1.0,100.0,64.0,57.0,89.1,57.0,89.1,0.0,0.0,0.0,0.0,0.0,69.0,63.0,91.3,63.0,91.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,CONEJOS,SANFORD 6J,560.0,3.0,1.0,33.3,2.0,66.7,0.0,0.0,0.0,0.0,0.0,10.0,7.0,70.0,8.0,80.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,5.0,100.0
35,CONEJOS,SOUTH CONEJOS RE-10,580.0,1.0,1.0,100.0,1.0,100.0,2.0,1.0,50.0,1.0,50.0,18.0,14.0,77.8,14.0,77.8,1.0,0.0,0.0,0.0,0.0,22.0,18.0,81.8,18.0,81.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0
36,COSTILLA,CENTENNIAL R-1,640.0,1.0,1.0,100.0,1.0,100.0,10.0,10.0,100.0,10.0,100.0,14.0,13.0,92.9,13.0,92.9,0.0,0.0,0.0,0.0,0.0,17.0,15.0,88.2,15.0,88.2,4.0,4.0,100.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0
37,COSTILLA,SIERRA GRANDE R-30,740.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,100.0,7.0,100.0,16.0,14.0,87.5,14.0,87.5,1.0,1.0,100.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,3.0,100.0
38,CROWLEY,CROWLEY COUNTY RE-1-J,770.0,4.0,3.0,75.0,3.0,75.0,0.0,0.0,0.0,0.0,0.0,31.0,28.0,90.3,30.0,96.8,0.0,0.0,0.0,0.0,0.0,38.0,36.0,94.7,37.0,97.4,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0
39,CUSTER,CUSTER COUNTY SCHOOL DISTRICT C-1,860.0,5.0,5.0,100.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,20.0,18.0,90.0,18.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,85.7,6.0,85.7
40,DELTA,DELTA COUNTY 50(J),870.0,44.0,30.0,68.2,30.0,68.2,30.0,22.0,73.3,22.0,73.3,238.0,188.0,79.0,193.0,81.1,5.0,5.0,100.0,5.0,100.0,2.0,0.0,0.0,0.0,0.0,10.0,4.0,40.0,5.0,50.0,40.0,39.0,97.5,39.0,97.5
41,DENVER,DENVER COUNTY 1,880.0,614.0,235.0,38.3,254.0,41.4,1000.0,527.0,52.7,543.0,54.3,3745.0,2010.0,53.7,2153.0,57.5,42.0,21.0,50.0,23.0,54.8,3581.0,1893.0,52.9,2036.0,56.9,283.0,95.0,33.6,106.0,37.5,905.0,720.0,79.6,747.0,82.5
42,DOLORES,DOLORES COUNTY RE NO.2,890.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,81.8,10.0,90.9,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0
43,DOUGLAS,DOUGLAS COUNTY RE 1,900.0,331.0,220.0,66.5,227.0,68.6,82.0,61.0,74.4,62.0,75.6,534.0,346.0,64.8,368.0,68.9,1.0,0.0,0.0,0.0,0.0,329.0,252.0,76.6,265.0,80.5,79.0,44.0,55.7,49.0,62.0,266.0,262.0,98.5,265.0,99.6
44,EAGLE,EAGLE COUNTY RE 50,910.0,31.0,18.0,58.1,18.0,58.1,142.0,68.0,47.9,68.0,47.9,149.0,113.0,75.8,113.0,75.8,2.0,2.0,100.0,2.0,100.0,1.0,0.0,0.0,0.0,0.0,11.0,7.0,63.6,7.0,63.6,45.0,43.0,95.6,44.0,97.8
45,ELBERT,ELIZABETH C-1,920.0,12.0,10.0,83.3,10.0,83.3,4.0,1.0,25.0,1.0,25.0,36.0,29.0,80.6,29.0,80.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,23.0,95.8,23.0,95.8
46,ELBERT,KIOWA C-2,930.0,1.0,1.0,100.0,1.0,100.0,2.0,2.0,100.0,2.0,100.0,10.0,10.0,100.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,100.0,1.0,1.0,100.0,1.0,100.0
47,ELBERT,BIG SANDY 100J,940.0,4.0,4.0,100.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,92.9,13.0,92.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,ELBERT,ELBERT 200,950.0,2.0,1.0,50.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,50.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,3.0,100.0
49,ELBERT,AGATE 300,960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,EL PASO,CALHAN RJ-1,970.0,5.0,4.0,80.0,4.0,80.0,0.0,0.0,0.0,0.0,0.0,23.0,21.0,91.3,21.0,91.3,0.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,6.0,100.0,1.0,1.0,100.0,1.0,100.0,5.0,5.0,100.0,5.0,100.0
51,EL PASO,HARRISON 2,980.0,48.0,28.0,58.3,28.0,58.3,66.0,44.0,66.7,44.0,66.7,385.0,287.0,74.5,293.0,76.1,1.0,1.0,100.0,1.0,100.0,6.0,4.0,66.7,4.0,66.7,8.0,6.0,75.0,6.0,75.0,48.0,44.0,91.7,44.0,91.7
52,EL PASO,WIDEFIELD 3,990.0,81.0,41.0,50.6,43.0,53.1,9.0,6.0,66.7,6.0,66.7,257.0,183.0,71.2,190.0,73.9,0.0,0.0,0.0,0.0,0.0,9.0,4.0,44.4,5.0,55.6,24.0,13.0,54.2,14.0,58.3,14.0,12.0,85.7,12.0,85.7
53,EL PASO,FOUNTAIN 8,1000.0,32.0,23.0,71.9,23.0,71.9,9.0,8.0,88.9,8.0,88.9,161.0,122.0,75.8,124.0,77.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,2.0,66.7,39.0,26.0,66.7,26.0,66.7,1.0,1.0,100.0,1.0,100.0
54,EL PASO,COLORADO SPRINGS 11,1010.0,189.0,66.0,34.9,69.0,36.5,125.0,60.0,48.0,63.0,50.4,1142.0,621.0,54.4,678.0,59.4,1.0,0.0,0.0,0.0,0.0,47.0,17.0,36.2,20.0,42.6,88.0,34.0,38.6,37.0,42.0,250.0,225.0,90.0,231.0,92.4
55,EL PASO,CHEYENNE MOUNTAIN 12,1020.0,20.0,16.0,80.0,17.0,85.0,2.0,2.0,100.0,2.0,100.0,30.0,23.0,76.7,24.0,80.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,62.0,61.0,98.4,61.0,98.4
56,EL PASO,MANITOU SPRINGS 14,1030.0,5.0,5.0,100.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,44.0,37.0,84.1,41.0,93.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,100.0,11.0,100.0
