,county,school_dist,school_dist_code,students_with_disabilities_final_grad_base,students_with_disabilities_graduates_total,students_with_disabilities_graduation_rate,students_with_disabilities_completers_total,students_with_disabilities_completion_rate,limited_english_proficient_final_grad_base,limited_english_proficient_graduates_total,limited_english_proficient_graduation_rate,limited_english_proficient_completers_total,limited_english_proficient_completion_rate,econ_disadvant_final_grad_base,econ_disadvant_graduates_total,econ_disadvant_graduation_rate,econ_disadvant_completers_total,econ_disadvant_completion_rate,migrant_final_grad_base,migrant_graduates_total,migrant_graduation_rate,migrant_completers_total,migrant_completion_rate,title_1_final_grad_base,title_1_graduates_total,title_1_graduation_rate,title_1_completers_total,title_1_completion_rate,homeless_final_grad_base,homeless_graduates_total,homeless_graduation_rate,homeless_completers_total,homeless_completion_rate,gifted_talented_final_grad_base,gifted_talented_graduates_total,gifted_talented_graduation_rate,gifted_talented_completers_total,gifted_talented_completion_rate
57,EL PASO,ACADEMY 20,1040.0,111.0,65.0,58.6,69.0,62.2,28.0,21.0,75.0,21.0,75.0,276.0,210.0,76.1,216.0,78.3,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,100.0,11.0,6.0,54.5,6.0,54.5,294.0,287.0,97.6,290.0,98.6
58,EL PASO,ELLICOTT 22,1050.0,4.0,1.0,25.0,1.0,25.0,1.0,1.0,100.0,1.0,100.0,37.0,30.0,81.1,31.0,83.8,1.0,1.0,100.0,1.0,100.0,24.0,23.0,95.8,23.0,95.8,2.0,1.0,50.0,1.0,50.0,1.0,1.0,100.0,1.0,100.0
59,EL PASO,PEYTON 23 JT,1060.0,4.0,4.0,100.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,100.0,17.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,100.0
60,EL PASO,HANOVER 28,1070.0,2.0,2.0,100.0,2.0,100.0,2.0,2.0,100.0,2.0,100.0,12.0,10.0,83.3,10.0,83.3,1.0,1.0,100.0,1.0,100.0,14.0,12.0,85.7,12.0,85.7,2.0,2.0,100.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0
61,EL PASO,LEWIS-PALMER 38,1080.0,33.0,16.0,48.5,16.0,48.5,11.0,11.0,100.0,11.0,100.0,51.0,40.0,78.4,40.0,78.4,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,1.0,50.0,1.0,1.0,100.0,1.0,100.0,85.0,82.0,96.5,84.0,98.8
62,EL PASO,FALCON 49,1110.0,78.0,50.0,64.1,50.0,64.1,23.0,18.0,78.3,18.0,78.3,258.0,213.0,82.6,213.0,82.6,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,1.0,50.0,7.0,6.0,85.7,6.0,85.7,86.0,83.0,96.5,83.0,96.5
63,EL PASO,EDISON 54 JT,1120.0,2.0,2.0,100.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,75.0,6.0,75.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,60.0,3.0,60.0
64,EL PASO,MIAMI/YODER 60 JT,1130.0,2.0,1.0,50.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,90.0,9.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,FREMONT,CANON CITY RE-1,1140.0,42.0,22.0,52.4,22.0,52.4,0.0,0.0,0.0,0.0,0.0,171.0,94.0,55.0,108.0,63.2,0.0,0.0,0.0,0.0,0.0,11.0,4.0,36.4,8.0,72.7,5.0,0.0,0.0,2.0,40.0,26.0,24.0,92.3,24.0,92.3
66,FREMONT,FREMONT RE-2,1150.0,9.0,7.0,77.8,7.0,77.8,1.0,1.0,100.0,1.0,100.0,60.0,47.0,78.3,51.0,85.0,0.0,0.0,0.0,0.0,0.0,28.0,24.0,85.7,26.0,92.9,1.0,1.0,100.0,1.0,100.0,9.0,8.0,88.9,9.0,100.0
67,FREMONT,COTOPAXI RE-3,1160.0,2.0,1.0,50.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,80.0,9.0,90.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,78.6,12.0,85.7,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,100.0
68,GARFIELD,ROARING FORK RE-1,1180.0,34.0,27.0,79.4,28.0,82.4,69.0,40.0,58.0,40.0,58.0,101.0,73.0,72.3,73.0,72.3,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,39.0,100.0,39.0,100.0
69,GARFIELD,GARFIELD RE-2,1195.0,21.0,16.0,76.2,16.0,76.2,44.0,28.0,63.6,32.0,72.7,149.0,90.0,60.4,111.0,74.5,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,28.6,6.0,5.0,83.3,6.0,100.0,18.0,16.0,88.9,18.0,100.0
70,GARFIELD,GARFIELD 16,1220.0,4.0,3.0,75.0,3.0,75.0,7.0,6.0,85.7,6.0,85.7,48.0,36.0,75.0,37.0,77.1,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,1.0,1.0,100.0,1.0,100.0
71,GILPIN,GILPIN COUNTY RE-1,1330.0,5.0,2.0,40.0,2.0,40.0,1.0,1.0,100.0,1.0,100.0,8.0,5.0,62.5,5.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,2.0,2.0,100.0,2.0,100.0
72,GRAND,WEST GRAND 1-JT.,1340.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0
73,GRAND,EAST GRAND 2,1350.0,4.0,1.0,25.0,2.0,50.0,9.0,4.0,44.4,4.0,44.4,27.0,11.0,40.7,17.0,63.0,1.0,1.0,100.0,1.0,100.0,1.0,1.0,100.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,6.0,5.0,83.3,5.0,83.3
74,GUNNISON,GUNNISON WATERSHED RE1J,1360.0,9.0,6.0,66.7,7.0,77.8,10.0,5.0,50.0,5.0,50.0,26.0,20.0,76.9,20.0,76.9,2.0,1.0,50.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,100.0,11.0,100.0
75,HINSDALE,HINSDALE COUNTY RE 1,1380.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0
76,HUERFANO,HUERFANO RE-1,1390.0,5.0,4.0,80.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,33.0,25.0,75.8,28.0,84.8,0.0,0.0,0.0,0.0,0.0,4.0,3.0,75.0,3.0,75.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,5.0,100.0
77,HUERFANO,LA VETA RE-2,1400.0,2.0,2.0,100.0,2.0,100.0,1.0,0.0,0.0,0.0,0.0,9.0,8.0,88.9,8.0,88.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,100.0
78,JACKSON,NORTH PARK R-1 ,1410.0,2.0,1.0,50.0,1.0,50.0,1.0,1.0,100.0,1.0,100.0,8.0,6.0,75.0,6.0,75.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0,92.3,12.0,92.3,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,100.0
79,JEFFERSON,JEFFERSON COUNTY R-1,1420.0,602.0,378.0,62.8,392.0,65.1,398.0,205.0,51.5,209.0,52.5,2090.0,1351.0,64.6,1423.0,68.1,12.0,3.0,25.0,3.0,25.0,295.0,157.0,53.2,165.0,55.9,247.0,144.0,58.3,151.0,61.1,933.0,891.0,95.5,900.0,96.5
80,KIOWA,EADS RE-1,1430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,88.9,9.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,3.0,100.0
81,KIOWA,PLAINVIEW RE-2,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0
82,KIT CARSON,ARRIBA-FLAGLER C-20,1450.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,2.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0
83,KIT CARSON,HI-PLAINS R-23,1460.0,2.0,1.0,50.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,80.0,4.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,KIT CARSON,STRATTON R-4,1480.0,4.0,3.0,75.0,4.0,100.0,1.0,1.0,100.0,1.0,100.0,10.0,9.0,90.0,10.0,100.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,6.0,100.0
85,KIT CARSON,BETHUNE R-5,1490.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,7.0,7.0,100.0,7.0,100.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,100.0
86,KIT CARSON,BURLINGTON RE-6J,1500.0,8.0,4.0,50.0,4.0,50.0,15.0,11.0,73.3,11.0,73.3,31.0,24.0,77.4,24.0,77.4,7.0,4.0,57.1,4.0,57.1,1.0,1.0,100.0,1.0,100.0,5.0,3.0,60.0,3.0,60.0,2.0,2.0,100.0,2.0,100.0
87,LAKE,LAKE COUNTY R-1,1510.0,10.0,3.0,30.0,4.0,40.0,24.0,13.0,54.2,13.0,54.2,43.0,29.0,67.4,29.0,67.4,3.0,1.0,33.3,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,100.0,8.0,100.0
88,LA PLATA,DURANGO 9-R,1520.0,34.0,22.0,64.7,23.0,67.6,5.0,2.0,40.0,2.0,40.0,116.0,67.0,57.8,80.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,66.7,49.0,47.0,95.9,48.0,98.0
89,LA PLATA,BAYFIELD 10 JT-R,1530.0,4.0,4.0,100.0,4.0,100.0,1.0,1.0,100.0,1.0,100.0,15.0,12.0,80.0,13.0,86.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,100.0,9.0,100.0
90,LA PLATA,IGNACIO 11 JT,1540.0,8.0,3.0,37.5,3.0,37.5,2.0,2.0,100.0,2.0,100.0,31.0,22.0,71.0,22.0,71.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,6.0,100.0
91,LARIMER,POUDRE R-1,1550.0,190.0,110.0,57.9,114.0,60.0,121.0,88.0,72.7,88.0,72.7,617.0,448.0,72.6,469.0,76.0,4.0,3.0,75.0,3.0,75.0,5.0,1.0,20.0,1.0,20.0,113.0,77.0,68.1,81.0,71.7,274.0,268.0,97.8,270.0,98.5
92,BOULDER,THOMPSON R2-J,1560.0,118.0,61.0,51.7,64.0,54.2,23.0,10.0,43.5,10.0,43.5,407.0,249.0,61.2,276.0,67.8,2.0,1.0,50.0,1.0,50.0,4.0,2.0,50.0,2.0,50.0,33.0,15.0,45.5,18.0,54.5,128.0,121.0,94.5,124.0,96.9
93,LARIMER,PARK (ESTES PARK) R-3,1570.0,8.0,4.0,50.0,4.0,50.0,6.0,3.0,50.0,3.0,50.0,26.0,18.0,69.2,18.0,69.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,60.0,3.0,60.0,21.0,21.0,100.0,21.0,100.0
94,LAS ANIMAS,TRINIDAD 1,1580.0,12.0,9.0,75.0,10.0,83.3,1.0,1.0,100.0,1.0,100.0,79.0,66.0,83.5,70.0,88.6,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,3.0,100.0
95,LAS ANIMAS,PRIMERO REORGANIZED 2,1590.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,5.0,3.0,60.0,3.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,100.0
96,LAS ANIMAS,HOEHNE REORGANIZED 3,1600.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,100.0,8.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,1.0,1.0,100.0,1.0,100.0
97,LAS ANIMAS,AGUILAR REORGANIZED 6,1620.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,50.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,53.8,7.0,53.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,LAS ANIMAS,BRANSON REORGANIZED 82,1750.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,36.8,8.0,42.1,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,2.0,100.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0
99,LAS ANIMAS,KIM REORGANIZED 88,1760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0
100,LINCOLN,GENOA-HUGO C113,1780.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,40.0,4.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,LINCOLN,LIMON RE-4J,1790.0,8.0,6.0,75.0,6.0,75.0,1.0,1.0,100.0,1.0,100.0,22.0,18.0,81.8,18.0,81.8,0.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,2.0,66.7,1.0,1.0,100.0,1.0,100.0,1.0,1.0,100.0,1.0,100.0
102,LINCOLN,KARVAL RE-23,1810.0,2.0,1.0,50.0,1.0,50.0,1.0,0.0,0.0,0.0,0.0,20.0,11.0,55.0,13.0,65.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,2.0,66.7,3.0,2.0,66.7,2.0,66.7,1.0,1.0,100.0,1.0,100.0
103,LOGAN,VALLEY RE-1,1828.0,22.0,12.0,54.5,14.0,63.6,3.0,2.0,66.7,2.0,66.7,87.0,56.0,64.4,61.0,70.1,3.0,2.0,66.7,2.0,66.7,2.0,1.0,50.0,1.0,50.0,4.0,2.0,50.0,3.0,75.0,27.0,25.0,92.6,25.0,92.6
104,LOGAN,FRENCHMAN RE-3,1850.0,2.0,2.0,100.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,3.0,100.0
105,LOGAN,BUFFALO RE-4J,1860.0,2.0,2.0,100.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,100.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,LOGAN,PLATEAU RE-5,1870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0
107,MESA,DE BEQUE 49JT,1980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,75.0,3.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,100.0
108,MESA,PLATEAU VALLEY 50,1990.0,23.0,5.0,21.7,5.0,21.7,5.0,0.0,0.0,0.0,0.0,67.0,17.0,25.4,29.0,43.3,0.0,0.0,0.0,0.0,0.0,18.0,7.0,38.9,9.0,50.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,2.0,100.0
109,MESA,MESA COUNTY VALLEY 51,2000.0,192.0,111.0,57.8,114.0,59.4,100.0,64.0,64.0,66.0,66.0,538.0,365.0,67.8,379.0,70.4,16.0,10.0,62.5,10.0,62.5,9.0,4.0,44.4,5.0,55.6,65.0,34.0,52.3,38.0,58.5,133.0,129.0,97.0,129.0,97.0
110,MINERAL,CREEDE SCHOOL DISTRICT,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,88.9,8.0,88.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,MOFFAT,MOFFAT COUNTY RE:NO 1,2020.0,10.0,8.0,80.0,8.0,80.0,4.0,3.0,75.0,3.0,75.0,68.0,44.0,64.7,46.0,67.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,25.0,2.0,25.0,2.0,2.0,100.0,2.0,100.0
112,MONTEZUMA,MONTEZUMA-CORTEZ RE-1,2035.0,27.0,11.0,40.7,11.0,40.7,41.0,14.0,34.1,14.0,34.1,132.0,55.0,41.7,59.0,44.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,12.0,92.3,12.0,92.3
113,MONTEZUMA,DOLORES RE-4A,2055.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,2.0,100.0,21.0,17.0,81.0,18.0,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,4.0,100.0
114,MONTEZUMA,MANCOS RE-6,2070.0,2.0,2.0,100.0,2.0,100.0,1.0,1.0,100.0,1.0,100.0,13.0,12.0,92.3,13.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,100.0,3.0,3.0,100.0,3.0,100.0
115,MONTROSE,MONTROSE COUNTY RE-1J,2180.0,31.0,13.0,41.9,13.0,41.9,54.0,33.0,61.1,33.0,61.1,266.0,187.0,70.3,190.0,71.4,9.0,1.0,11.1,2.0,22.2,6.0,1.0,16.7,1.0,16.7,19.0,11.0,57.9,11.0,57.9,49.0,47.0,95.9,49.0,100.0
116,MONTROSE,WEST END RE-2,2190.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,60.0,3.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0
117,MORGAN,BRUSH RE-2(J),2395.0,10.0,6.0,60.0,7.0,70.0,10.0,8.0,80.0,8.0,80.0,61.0,44.0,72.1,50.0,82.0,4.0,3.0,75.0,3.0,75.0,2.0,2.0,100.0,2.0,100.0,6.0,2.0,33.3,4.0,66.7,7.0,7.0,100.0,7.0,100.0
118,MORGAN,FORT MORGAN RE-3,2405.0,16.0,7.0,43.8,8.0,50.0,74.0,34.0,45.9,40.0,54.1,159.0,99.0,62.3,116.0,73.0,22.0,8.0,36.4,9.0,40.9,9.0,4.0,44.4,6.0,66.7,13.0,3.0,23.1,3.0,23.1,19.0,19.0,100.0,19.0,100.0
119,MORGAN,WELDON VALLEY RE-20(J),2505.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0
120,MORGAN,WIGGINS RE-50(J),2515.0,1.0,1.0,100.0,1.0,100.0,5.0,1.0,20.0,1.0,20.0,28.0,19.0,67.9,19.0,67.9,3.0,1.0,33.3,1.0,33.3,43.0,34.0,79.1,34.0,79.1,6.0,4.0,66.7,4.0,66.7,3.0,3.0,100.0,3.0,100.0
